Code,Building,Address
STOECK,Stoeckel Hall,96 Wall Street New Haven CT
SW,Swing Dorm,100 Tower Parkway New Haven CT
SY,Saybrook College,242 Elm Street New Haven CT
TAC,The Anlyan Center,300 Cedar Street New Haven CT
TC,Trumbull College,241 Elm Street New Haven CT
TD,Timothy Dwight College,345 Temple Street New Haven CT
TM320,320 Temple Street,320 Temple Street New Haven CT
TM370,370 Temple Street,370 Temple Street New Haven CT
TM405,405 Temple Street,405 Temple Street New Haven CT
TM432,432 Temple Street,432 Temple Street New Haven CT
TM434,434 Temple Street,434 Temple Street New Haven CT
UT,University Theater,222 York Street New Haven CT
WALL81,81 Wall Street,81 Wall Street New Haven CT
WH121,121 Whitney Avenue,121 Whitney Avenue New Haven CT
WH158,158 Whitney Avenue,158 Whitney Avenue New Haven CT
WH175,175 Whitney Avenue,175 Whitney Avenue New Haven CT
WH221,221 Whitney Avenue,221 Whitney Avenue New Haven CT
WHC,Whitney Humanities Center,53 Wall Street New Haven CT
WL53,53 Wall Street,53 Wall Street New Haven CT
WLH,William L. Harkness Hall,100 Wall Street New Haven CT
WNSL,Wright Nuclear Stucture Lab,272 Whitney Avenue New Haven CT
WOOL,Woolsey Hall,College and Grove Streets New Haven CT
WWW,William Wirt Winchester Bldg,25 York Street New Haven CT
YCMI,Yale Ctr Medical Informatics,40 Temple Street New Haven CT
YK149,149 York Street,149 York Street New Haven CT
YK204,204 York Street,204 York Street New Haven CT
YK212,212 York Street,212 York Street New Haven CT
YK220,220 York Street,220 York Street New Haven CT
YK222,222 York Street,222 York Street New Haven CT
YK254,254 York Street,254 York Street New Haven CT
YPSC,Yale Psyc Services Clinic,405 Temple Street New Haven CT
YRT,Yale Repertory Theatre,1120 Chapel Street New Haven CT
YUAG,Yale University Art Gallery,1111 Chapel Street New Haven CT
